City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,Luena,-11.7833,19.9167,60.24,92,100,5.86,AO,2021-01-11 00:40:06
258,Sao Joao Da Barra,-21.6403,-41.0511,77.31,88,57,17.52,BR,2021-01-11 00:40:06
259,Vila Velha,-20.3297,-40.2925,79.0,83,75,11.5,BR,2021-01-11 00:35:33
260,Amapa,1.0,-52.0,72.79,97,100,3.6,BR,2021-01-11 00:40:07
261,Vila Franca Do Campo,37.7167,-25.4333,55.4,94,75,11.5,PT,2021-01-11 00:40:07
262,Clyde River,70.4692,-68.5914,6.8,85,90,13.8,CA,2021-01-11 00:40:07
263,East London,-33.0153,27.9116,70.02,84,99,14.25,ZA,2021-01-11 00:40:07
264,Macapa,0.0389,-51.0664,78.8,89,0,3.44,BR,2021-01-11 00:40:08
265,Wanning,18.8003,110.3967,54.57,79,100,19.57,CN,2021-01-11 00:37:28
266,Remontnoye,46.5614,43.6501,30.2,93,100,11.18,RU,2021-01-11 00:40:08
267,Cavalcante,-13.7975,-47.4583,70.83,83,65,1.25,BR,2021-01-11 00:40:08
268,Mizdah,31.4451,12.9801,64.65,28,0,10.4,LY,2021-01-11 00:40:09
269,Gushikawa,26.3544,127.8686,57.2,94,90,5.75,JP,2021-01-11 00:40:09
270,Champerico,14.3,-91.9167,82.4,65,0,4.61,GT,2021-01-11 00:40:09
271,Sinnamary,5.3833,-52.95,78.03,85,84,13.87,GF,2021-01-11 00:40:09
272,Dingle,10.9995,122.6711,75.06,91,100,12.93,PH,2021-01-11 00:40:10
273,Zhuhai,22.2769,113.5678,50.0,57,40,21.85,CN,2021-01-11 00:40:10
274,Cherskiy,68.75,161.3,-34.74,83,61,1.61,RU,2021-01-11 00:40:10
275,Sept-Iles,50.2001,-66.3821,19.4,73,11,9.22,CA,2021-01-11 00:40:03
276,Gaspe,48.8334,-64.4819,17.6,79,40,8.05,CA,2021-01-11 00:40:11
277,Maracacume,-2.0428,-45.9592,73.6,96,75,2.57,BR,2021-01-11 00:40:11
278,Krasnoselkup,65.7,82.4667,-24.66,84,71,7.58,RU,2021-01-11 00:40:11
279,Keuruu,62.2667,24.7,26.01,93,90,12.66,FI,2021-01-11 00:40:11
280,Eureka,40.8021,-124.1637,54.0,88,100,3.0,US,2021-01-11 00:40:06
281,Mayumba,-3.432,10.6554,78.04,86,100,6.58,GA,2021-01-11 00:40:12
282,Dunedin,-45.8742,170.5036,59.92,56,83,10.33,NZ,2021-01-11 00:40:12
283,Grand-Santi,4.25,-54.3833,72.37,97,100,2.84,GF,2021-01-11 00:40:12
284,Woodward,36.4337,-99.3904,36.0,87,90,3.67,US,2021-01-11 00:40:12
285,Ajdabiya,30.7554,20.2263,66.2,41,93,13.82,LY,2021-01-11 00:40:12
286,Saldanha,-33.0117,17.9442,57.2,77,0,5.75,ZA,2021-01-11 00:40:13
287,Taoudenni,22.6783,-3.9836,58.62,33,29,11.54,ML,2021-01-11 00:40:13
288,Ramanuj Ganj,23.8,83.7,58.8,86,0,2.95,IN,2021-01-11 00:40:13
289,Bima,-8.4667,118.7167,87.08,67,100,0.65,ID,2021-01-11 00:40:13
290,Camana,-16.6228,-72.7111,70.57,73,100,3.56,PE,2021-01-11 00:40:13
291,Lima,-12.0432,-77.0282,70.0,83,40,14.97,PE,2021-01-11 00:36:01
292,Viedma,-40.8135,-62.9967,81.0,22,99,11.59,AR,2021-01-11 00:36:22
293,Gobabis,-22.45,18.9667,66.49,91,100,9.4,NA,2021-01-11 00:40:14
294,Hualmay,-11.0964,-77.6139,70.66,83,100,9.71,PE,2021-01-11 00:40:14
