City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Namangan,UZ,40.9983,71.6726,24.8,63,2,4.61,clear sky
288,Vigia,BR,-0.8583,-48.1417,73.4,94,75,12.66,light rain
289,Yacuiba,BO,-22.038,-63.6797,75.15,76,100,3.65,overcast clouds
290,Lock Haven,US,41.137,-77.4469,30.0,47,96,1.01,overcast clouds
291,Poplar Bluff,US,36.757,-90.3929,46.0,93,90,4.61,mist
292,Bredasdorp,ZA,-34.5322,20.0403,66.2,68,20,11.5,few clouds
293,Zeya,RU,53.75,127.2667,-20.81,78,86,2.15,overcast clouds
294,Upata,VE,8.0086,-62.3989,80.01,80,96,4.0,overcast clouds
295,Palana,RU,59.1167,159.9667,-9.11,93,100,11.95,overcast clouds
296,Nanzhou,CN,29.3596,112.4024,45.12,90,100,12.91,light rain
297,Mokhotlong,LS,-29.2894,29.0675,55.18,78,100,4.59,overcast clouds
298,Rio Gallegos,AR,-51.6226,-69.2181,57.2,41,40,24.16,light rain
299,Bogorodskoye,RU,56.55,37.8833,35.6,98,100,13.49,overcast clouds
300,Narsaq,GL,60.9167,-46.05,28.4,29,0,31.07,clear sky
301,Moses Lake,US,47.1301,-119.2781,35.6,69,90,4.61,overcast clouds
302,Villa Bisono,DO,19.5638,-70.8758,78.8,69,20,6.91,few clouds
303,Rudnogorsk,RU,57.2639,103.7519,-8.64,91,100,1.81,overcast clouds
304,Paamiut,GL,61.994,-49.6678,20.32,78,1,12.75,clear sky
305,Anloga,GH,5.7947,0.8973,79.27,83,90,11.1,overcast clouds
306,Svetlaya,RU,46.5389,138.3297,16.54,84,10,7.05,clear sky
307,Progreso,MX,21.2833,-89.6667,86.0,58,75,10.36,broken clouds
308,Simao,CN,22.7886,100.9748,46.65,83,15,0.83,few clouds
309,Cherskiy,RU,68.75,161.3,-25.46,86,100,6.62,overcast clouds
310,Upernavik,GL,72.7868,-56.1549,13.53,93,31,13.98,scattered clouds
311,Ararat,AM,39.8317,44.7049,8.6,78,28,0.51,mist
312,San Quintin,MX,30.4833,-115.95,57.25,60,20,13.02,few clouds
313,San Vicente,AR,-26.6167,-54.1333,68.45,100,77,2.84,moderate rain
314,Aksu,CN,41.1231,80.2644,14.5,90,0,1.68,clear sky
315,Komsomolskiy,UZ,40.4272,71.7189,24.8,63,7,4.61,clear sky
316,Coquimbo,CL,-29.9533,-71.3436,68.0,68,20,11.5,few clouds
317,Seoul,KR,37.5683,126.9778,35.6,93,0,3.44,clear sky
318,The Valley,AI,18.217,-63.0578,78.8,78,20,5.75,few clouds
319,Namatanai,PG,-3.6667,152.4333,84.99,66,19,4.32,light rain
320,Guanare,VE,9.0418,-69.7421,79.43,67,98,1.57,overcast clouds
321,Ponta Do Sol,PT,32.6667,-17.1,59.0,71,0,1.99,clear sky
322,Methoni,GR,36.8197,21.7049,60.01,76,100,3.44,overcast clouds
323,Bima,ID,-8.4667,118.7167,79.79,79,100,2.08,overcast clouds
324,Inyonga,TZ,-6.7167,32.0667,63.36,94,100,2.84,overcast clouds
325,Walvis Bay,NA,-22.9575,14.5053,70.0,83,97,3.44,overcast clouds
326,Trairi,BR,-3.2778,-39.2689,79.92,80,100,10.13,overcast clouds
327,Carutapera,BR,-1.195,-46.02,76.66,91,100,6.11,heavy intensity rain
328,Beipiao,CN,41.7919,120.7792,17.42,93,50,3.36,light snow
329,Bazarnyy Karabulak,RU,52.2683,46.4144,25.45,98,100,8.55,overcast clouds
330,Fort Nelson,CA,58.8053,-122.7002,3.2,55,90,1.48,light snow
331,Fier,AL,40.7239,19.5561,54.84,73,99,21.7,overcast clouds
332,Buala,SB,-8.145,159.5921,85.95,57,25,7.11,scattered clouds
333,Umm Lajj,SA,25.0213,37.2685,71.62,49,0,8.9,clear sky
334,Inhambane,MZ,-23.865,35.3833,80.13,89,100,8.16,overcast clouds
335,Tateyama,JP,34.9833,139.8667,48.2,87,75,18.41,broken clouds
336,Bontang,ID,0.1333,117.5,76.73,86,100,5.26,moderate rain
337,Alpinopolis,BR,-20.8636,-46.3881,67.57,76,55,2.93,broken clouds
338,Nelson Bay,AU,-32.7167,152.15,86.0,65,0,6.91,light rain
339,Saint Anthony,US,45.0205,-93.218,26.6,53,1,6.91,clear sky
340,Puri,IN,19.8,85.85,69.8,94,75,5.84,fog
341,Great Yarmouth,GB,52.6083,1.7305,37.99,80,100,6.91,overcast clouds
342,Mwinilunga,ZM,-11.7358,24.4293,61.02,96,100,2.82,overcast clouds
343,Lagoa,PT,39.05,-27.9833,62.46,94,73,20.65,broken clouds
344,Chuy,UY,-33.6971,-53.4616,71.6,91,0,7.58,clear sky
345,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,40,3.44,moderate rain
346,Gornopravdinsk,RU,60.05,69.9,-21.23,87,100,7.9,light snow
347,Agadez,NE,19.75,10.25,57.78,26,0,9.98,clear sky
